coef_mean,coef_sd,ci_mean,coef_low,coef_high,model,timeframe
-0.00842820165896793,0.0007213453733151345,0.0026113894293306296,-0.01139776216871546,-0.005458641149220399,arrhenius_1896,1896-2024
-0.00850702067121137,0.0007953027423435396,0.005217909087338296,-0.01395279077558143,-0.0030612505668413097,callendar_1938,1920-2024
0.013239378802907298,0.0008160406881825314,0.0019890864190029623,0.010686993194809605,0.01579176441100499,plass_1953,1953-2024
0.0038938728036767723,0.0008622432206934907,0.001375013712933187,0.0017151686936114903,0.006072576913742054,plass_1956,1900-2000
0.017636647768457452,0.0013307318099665187,0.0029436027303710306,0.013703750179413738,0.021569545357501167,plass_1959,1952-2000
-0.013272784746760852,0.001266177270111267,0.0029706230324779035,-0.017143633886883135,-0.009401935606638568,kondratiev_1960_lower,1960-2000
-0.01302056850279741,0.001266177270111267,0.002970623032364732,-0.01689141764283284,-0.009149719362761977,kondratiev_1960_median,1960-2000
-0.01276835225883396,0.001266177270111267,0.0029706230322920292,-0.016639201398813596,-0.008897503118854323,kondratiev_1960_upper,1960-2000
-0.01275358122976054,0.0007724574640787644,0.0015443725893468695,-0.014916295508026228,-0.010590866951494853,wilkins_1961_lower,1961-2024
-0.009978581229760572,0.0007724574640787646,0.0015443725893463738,-0.012141295508025906,-0.007815866951495238,wilkins_1961_median,1961-2024
-0.007203581229760603,0.0007724574640787644,0.0015443725893510337,-0.009366295508029265,-0.005040866951491941,wilkins_1961_upper,1961-2024
0.018008235269733358,0.0007081127105368916,0.04020846435052928,-0.022224175475474603,0.05824064601494132,psac_1965,1860-2000
0.05593245321884682,0.0009830011348898725,0.00445458353941521,0.05107906070397779,0.06078584573371586,sargent_1967_lower,1967-2000
0.05593245321884682,0.0009830011348898725,0.00445458353941521,0.05107906070397779,0.06078584573371586,sargent_1967_average,1967-2000
0.05593245321884682,0.0009830011348898725,0.00445458353941521,0.05107906070397779,0.06078584573371586,sargent_1967_upper,1967-2000
0.031467359331681155,0.000999801797114679,0.00473855572362595,0.026339592989070112,0.0365951256742922,fletcher_1969_lower,1969-2000
0.031467359331681155,0.000999801797114679,0.00473855572362595,0.026339592989070112,0.0365951256742922,fletcher_1969_average,1969-2000
0.031467359331681155,0.000999801797114679,0.00473855572362595,0.026339592989070112,0.0365951256742922,fletcher_1969_upper,1969-2000
0.011376041588338,0.0009020921011345966,0.001412676196748295,0.009112894779268263,0.013639188397407737,peterson_1969,1950-2020
0.017636647768457452,0.0013307318099665187,0.0029436027303710306,0.013703750179413738,0.021569545357501167,tilson_1969,1952-2000
0.03402256580359885,0.0007640278164739213,0.007669781578298751,0.02620796157196267,0.04183717003523503,austin_1970,1970-2024
-0.014138100081283729,0.0007640278164739209,0.001987716241995607,-0.016626775571778295,-0.011649424590789161,barrett_1970,1970-2024
0.0024794951334274136,0.001020030488242456,0.004876378200537996,-0.0027908088360285043,0.007749799102883332,benton_1970,1970-2000
0.015861215563535033,0.0010200304882424557,0.004826310407246555,0.010637202573229875,0.02108522855384019,fletcher_1970,1970-2000
-0.013256872624340704,0.0007640278164739208,0.0019996432703273974,-0.015755084594302596,-0.01075866065437881,landsberg_1970,1970-2024
-0.0003889460664455366,0.0008622432206934907,0.001420095528941508,-0.0025963790098847495,0.001818486876993676,manabe_1970,1900-2000
-0.00014920958327534442,0.0009998017971146785,0.005136764418247144,-0.005647066075316247,0.005348646908765558,mitchell_1970,1969-2000
0.0012416916694705732,0.0009492210281590859,0.0029508893848086415,-0.0022467332968749074,0.004730116635816054,pceq_1970,1970-2010
0.010860548989977481,0.0010261158514400213,0.00477817541241225,0.005676358243334416,0.016044739736620545,lovelock_1971,1971-2000
0.0016228827659825076,0.0007760076003029678,0.001983809678250305,-0.0008768903188370225,0.004122655850802038,macdonald_1971,1971-2024
-0.00048427859622923063,0.0010261158514400218,0.004778175412336684,-0.005668469342802648,0.004699912150344187,matthews_1971,1971-2000
-0.014125343576250114,0.001020030488242456,0.004774121293908787,-0.019301179132441396,-0.008949508020058831,rasool_1971,1970-2000
-0.0016707812290725926,0.001020030488242456,0.005036903839320139,-0.0070899545850687425,0.0037483921269235577,budyko_1972_lower,1970-2000
-0.0016707812290725926,0.001020030488242456,0.005036903839320139,-0.0070899545850687425,0.0037483921269235577,budyko_1972_median,1970-2000
-0.0016707812290725926,0.001020030488242456,0.005036903839320139,-0.0070899545850687425,0.0037483921269235577,budyko_1972_upper,1970-2000
-0.0031557471276482947,0.0008622432206934909,0.0011751779810702768,-0.005214176668743509,-0.00109731758655308,ferland_1972,1900-2000
-0.0006938115339155332,0.0010200304882424561,0.004936045389511824,-0.006019371003408063,0.004631747935576996,machta_1972_a,1970-2000
-0.0006690923078348074,0.0010200304882424561,0.004948381520278936,-0.006006087646601622,0.004667903030932007,machta_1972_b,1970-2000
-0.015011999000745178,0.0008029532887117785,0.0021025365363447402,-0.01763830247883648,-0.012385695522653879,nsb_1972_lower,1970-2020
-0.0071559377471299155,0.0008029532887117787,0.002116818778886783,-0.009793689027106414,-0.004518186467153417,nsb_1972_median,1970-2020
0.0007001235064853481,0.0008029532887117786,0.0021394481258897725,-0.001955822343064898,0.003356069356035594,nsb_1972_upper,1970-2020
0.0023764502407715646,0.0009998017971146788,0.004772879074978526,-0.002783050896244907,0.007535951377788036,sawyer_1972,1969-2000
-0.001301898605620959,0.001020030488242456,0.004915803238762288,-0.0066087018861285774,0.00400490467488666,palmer_1973,1970-2000
0.0031212614146778166,0.0009866192123668645,0.003012242927381882,-0.00045827598659714834,0.006700798815952782,landsberg_1974,1974-2014
